Source Title,Publisher,Year,OCLC Number
The Other Side Of Dark Remembrance,Jimoondang,2001,51885879
Kwon Sun-Chan And Nice People,Asia publishers,2015,922006733
"So Far, And Yet So Near : Volume 058",Asia publishers,2014,1001470025
At Least We Can Apologize,DALKEY ARCHIVE,2013,881470005
Toy City,Koryo Press,2007,76898099
A Toy City,Jimoondang,2003,54508875
Night Train: Into Or Beyond Darkness,Minerva,2001,46848159
Farmers: A Novel,Homa & Sekey,2002,50916102
Meeting With My Brother,Columbia University Press,2017,971248025
Son Of Man,Dalkey Archive Press,2015,918940657
Twofold Song,Hollym,2004,728651768
An Appointment With My Brother,Jimoondang,2002,53309442
Our Twisted Hero,Hyperion,2001,44493255
The Poet,Harvill Press,1995,33192535
Hail To The Emperor!,Si-sa-yong-o-sa,1986,17318568
A Stray Bullet : Volume 110,Asia publishers,2015,910729222
The Wind And Landscape Of Yenang,Bybooks,2013,-
Alexandria,Bybooks Publishers,2012,842175647
Wings : Volume 091,Asia publishers,2015,910338589
Susaek,Homa & Sekey,2008,174040315
Looking For A Horse : Volume 082,Asia publishers,2014,1001556684
The Private Life Of Plants,Dalkey Archive Press,2015,918940656
The Reverse Side Of Life,Peter Owen,2005,61217656
Patterns,Green Integer,2014,833301278
Olympic Boulevard,Seoul Selection,2016,1243158155
Grand Master : Volume 081,Asia publishers,2014,1001555491
Everlasting Empire,EastBridge,2002,51165638
The Boy Who Escaped Paradise,Pegasus Books,2016,1141410747
The Investigation,Pan Books,2015,898155119
The Investigation,Mantle,2014,878791785
Marilyn And Me,Fourth Estate,2019,1090434107
The Starlet And The Spy,Harper Paperbacks,2019,1111144128
The Wounded,Asia publishers,2012,871683109
Your Paradise,Green Integer,2004,62529089
The Wounded,Jimoondang,2002,52993504
This Paradise Of Yours,Crescent Publications,1986,15506698
An Idiot's Delight : Volume 098,Asia publishers,2015,910730995
A House On The Road,Stallion Press,2010,641370407
"Southerners, Northerners",East Bridge,2005,56599807
Endless Blue Sky,Honford Star,2018,1125007498
Leaves Of Grass : Volume 103,Asia publishers,2015,910738985
When Buckwheat Flowers Bloom,Lee Hyo-Seok Memorial Hall,2004,64429939
Straight Lines And Poison Gas - At The Hospital Wards : Volume 018,Asia pubilshers,2013,859810325
The Island,Stallion Press,2011,641391282
"With Her Oil Lamp On, That Night",Jimoondang,2002,51902869
The Poetry Of John : Volume 108,Asia publishers,2015,910340494
No One Writes Back,DALKEY ARCHIVE,2013,854906221
When Adam Opens His Eyes,DALKEY ARCHIVE,2013,882106788
I Drift On Unknown Waters In A Glass Boat,Stallion Press,2010,642803459
The Dandelion Ranch,AuthorHouse,2002,-
The Dandelion Ranch,The Korea Herald Incorporated,2000,902681239
Kapitan Ri : Volume 105,Asia publishers,2015,910729050
Old Wrestler,Strangers Press,2019,1266211104
Wolves,White Pine Press,2017,959035513
Free On The Inside: The Life Of A Missionary Pow,Authentic,2009,639992623
"Ainu, Ainu",International Cultural Society of Korea,1989,22643659
Seven Samurai Swept Away In A River,Deep Vellum Publishing,2019,1142937855
A Contrived World,Dalkey Archive Press,2016,933386065
Vaseline Buddha,Deep Vellum Publishing,2016,923554706
A Chain Of Dark Tales,Stallion Press,2011,788298145
Seven Years Of Darkness,Little,2020,1155919689
Seven Years Of Darkness,PENGUIN BOOKS,2020,1127542849
The Good Son,PENGUIN BOOKS,2018,1004023570
A Divided Time,Dong-Suh Munhaksa,1988,-
Pilate's Jesus,Cross-Cultural Communications,2011,933448604
Bridge,Dong-Suh Munhaksa,1990,-
Iy?? Island,Si-sa-yong-o-sa,1986,17318445
Tongue: A Novel,Bloomsbury USA,2009,298324364
"Kim Jiyoung, Born 1982",Liveright,2020,1102477918
"Kim Jiyoung, Born 1982",Scribner UK,2020,1282320109
Insult : Volume 079,Asia publishers,2014,1001555295
Dwarf Launches A Little Ball,Jimoondang,2002,52986237
Modern Korean Short Stories,Larchwood Publication Ltd.,1981,432649466
The Human Jungle,Chin Music Press,2016,920018998
The Land Of The Banished,Asia publishers,2012,808372979
The Land Of The Banished,Jimoondang,2001,49869662
Playing With Fire,Cornell Univ. East Asia Program,1997,36709076
How In Heaven's Name,Merwin Asia,2012,786447174
America,Dong-Suh Munhaksa,1990,23686114
I Met Loh Kiwan,University of Hawai'i Press,2019,1078993168
Turbid Rivers,Dalkey Archive Press,2016,943594712
Juvesenility : Volume 101,Asia publishers,2015,910734768
My Innocent Uncle,Jimoondang,2003,224627550
Peace Under Heaven,M.E. Sharpe,1992,26545807
Homecoming,Asia publishers,2015,975665920
Modern Family,White Pine Press,2015,890179964
The Catcher In The Loft,Codhill Press,2019,1224592501
Five Preludes & A Fugue,Strangers Press,2019,1112371104
Walking In The Rain : Volume 094,Asia publishers,2015,910684523
Dishonored,Asia publishers,2014,904963888
Escape : Volume 088,Asia publishers,2014,1001564476
Mannequin,Dalkey Archive Press,2016,1032374567
The Last Of Hanak'o,Asia publishers,2012,809933394
The Last Of Hanako,Jimoondang,2003,55741158
Another Man's City,Dalkey Archive Press,2014,883391252
Tower Of Ants,Hollym,2004,60331084
Deep Blue Night,Jimoondang,2002,52993800
The Square,Dalkey Archive Press,2014,883391403
House Of Idols,Jimoondang,2003,224317654
A Grey Man,Si-sa-yong-o-sa,1988,19466529
The Daily Life Of Ku-Poh The Novelist,Fremont Publications,1985,15364889
The Square,Spindlewood,1985,12524703
The Law Of Lines: A Novel,Arcade,2020,1130330430
City Of Ash And Red,Skyhorse Publishing,2018,1086118050
The Hole,Arcade Publishing,2017,985359630
The Republic Of U??upis,Dalkey Archive Press,2014,883391402
Europa,Strangers Press,2019,1108712733
The White Book,Portobello Books,2017,968507720
Human Acts,Portobello Books,2016,920738939
Human Acts,Hogarth,2016,937062129
The Vegetarian,Hogarth,2016,949753530
The Vegetarian,Portobello Books,2015,896855397
Convalescence : Volume 024,Asia pubilshers,2013,859891204
Hymn Of The Spirit,Fremont Publications,1983,11725475
And So Flows History,University of Hawaii Press,2005,57285887
Encounter,University of California,1992,24380215
