Source Title,Publisher,Year,OCLC Number
Scenes From Ch'o??nggaye Stream,Stallion Press,2011,668927774,"""\""Korean fiction\"",\""Korean fiction Translations into English\"",\""Translations\"""""
Arpan,Asia publishers,2014,904963756,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Tower,Honford Star,2020,1184680591,"""\""Cycles de nouvelles\"",\""Fiction\"",\""Gratte-ciel Romans, nouvelles, etc\"",\""Korean fiction\"",\""Korean fiction Translations into English\"",\""Linked stories\"",\""Nouvelles\"",\""Pouvoir (Sciences sociales) Romans, nouvelles, etc\"",\""Power (Social sciences)\"",\""Power (Social sciences) Fiction\"",\""Science fiction\"",\""Short stories\"",\""Skyscrapers\"",\""Skyscrapers Fiction\"",\""Translations\"",\""short stories\"""""
Untold Night And Day,Jonathan Cape,2020,1184512512,-
Untold Night And Day: A Novel,The Overlook Press,2020,1161988039,"""\""Femmes Corée du Sud Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Gender identity\"",\""Korea (South)\"",\""Korea (South) Seoul\"",\""Korean fiction\"",\""Multivers Romans, nouvelles, etc\"",\""Multiverse\"",\""Multiverse Fiction\"",\""Novels\"",\""Romans\"",\""Seoul (Korea) Fiction\"",\""Women\"",\""Women Korea (South) Fiction\"""""
"Milena, Milena, Ecstatic",Strangers Press,2019,1143357995,"""\""Nouvelles\"",\""Short stories\"",\""short stories\"""""
Recitation,Deep Vellum Publishing,2017,945949035,"""\""Actresses\"",\""Actresses Fiction\"",\""Actrices Romans, nouvelles, etc\"",\""Fiction\"",\""Memory\"",\""Memory Fiction\"",\""Novels\"",\""Pae, Su-a, 1965-\"",\""Pae, Su-a, 1965- Translations into English\"",\""Romans\"",\""Translations\"",\""Travel\"",\""Travel Fiction\"",\""Voyage Romans, nouvelles, etc\"",\""novels\"""""
A Greater Music,Open Letter,2016,944464028,"""\""Coréens Allemagne Berlin Romans, nouvelles, etc\"",\""FICTION Contemporary Women\"",\""FICTION Lesbian\"",\""FICTION Literary\"",\""Fiction\"",\""Germany Berlin\"",\""HISTORY Asia Korea\"",\""Korean fiction 21st century Translations into English\"",\""Koreans\"",\""Koreans Germany Berlin Fiction\"",\""Lesbians\"",\""Lesbians Germany Berlin Fiction\"",\""Lesbiennes Allemagne Berlin Romans, nouvelles, etc\"",\""Love stories\"",\""Man-woman relationships\"",\""Man-woman relationships Fiction\"",\""Psychological fiction\"",\""Relations entre hommes et femmes Romans, nouvelles, etc\"",\""Romance fiction\"""""
The Forgotten And The Unforgattable: Literature Traversing Between Memory And Oblivion,Seoul International Writers Festival,2016,-,-
Nowhere To Be Found,Amazon crossing,2015,895727815,"""\""Femmes Corée du Sud Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Korean fiction\"",\""Korean fiction Translations into English\"",\""Translations\"",\""Women\"",\""Women Korea (South) Fiction\"""""
Highway With Green Apples,StoryFront,2014,-,-
Friend: A Novel From North Korea,Columbia University Press,2020,1114275439,"""\""Actions en divorce Corée du Nord Romans, nouvelles, etc\"",\""Divorce suits\"",\""Divorce suits Korea (North) Fiction\"",\""Divorced women\"",\""Divorced women Korea (North) Fiction\"",\""Domestic fiction\"",\""FICTION / Literary\"",\""Femmes divorcées Corée du Nord Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (North)\"",\""LITERARY COLLECTIONS / Asian / General\"",\""Man-woman relationships\"",\""Man-woman relationships Fiction\"",\""Novels\"",\""Relations entre hommes et femmes Romans, nouvelles, etc\"",\""Romans\"",\""novels\"""""
Time Difference: K-Fiction Series 10,Asia publishers,2015,922007559,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
The Jovian Sayings,Stallion Press,2014,894544321,"""\""Pok, Kŏ-il, 1946- Translations into English\"""""
The Ma Rok Biographies,Jimoondang,2001,50405339,"""\""Corée Histoire Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Historical fiction\"",\""Historical fiction, Korean\"",\""Historical fiction, Korean Translations into English\"",\""History\"",\""Korea\"",\""Korea History Fiction\"",\""Korean fiction\"",\""Korean fiction Translations into English\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Literature\"",\""Littérature\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Image Of Virgin Mary In Chosun White Porcelain,Dong-Suh Munhaksa,1990,24081976,"""\""Fiction\"",\""Korean fiction\"",\""Korean fiction Translations into English\"",\""Romans\"",\""Translations\"""""
The Only Child,Ecco,2020,1099543778,"""\""Belles-filles Romans, nouvelles, etc\"",\""Child abuse Fiction\"",\""Criminal psychology Fiction\"",\""FICTION / Psychological\"",\""FICTION / Thrillers / Psychological\"",\""FICTION / Thrillers / Suspense\"",\""Femmes psychologues Romans, nouvelles, etc\"",\""Fiction\"",\""Interviews Fiction\"",\""Mentally ill Fiction\"",\""Murderers Fiction\"",\""Novels\"",\""Psychological fiction\"",\""Romans\"",\""Seoul (Korea) Fiction\"",\""Serial murderers\"",\""Serial murderers Fiction\"",\""Stepdaughters\"",\""Stepdaughters Fiction\"",\""Stepfamilies Fiction\"",\""Suspense fiction\"",\""Thrillers (Fiction)\"",\""Tueurs en série Romans, nouvelles, etc\"",\""Women psychologists\"",\""Women psychologists Fiction\"""""
A Walk In The Mountains,Hollym,2004,731006163,"""\""Koreanisch\"",\""Kurzgeschichte\"",\""Nouvelles coréennes\"",\""PRO Taehan Min'guk Kukhoe Tosŏgwan (donor)\"",\""Short stories, Korean\"""""
The Amusing Life,Darkey Archive,2016,1090013146,"""\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Fiction\"",\""Nouvelles\"",\""Short stories\"",\""short stories\"""""
The Wind From The South,Si-sa-yong-o-sa,1988,19466499,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Literatura Oriental\"",\""Romans\"",\""Translations\"""""
Almond,HarperVia,2020,1256557938,"""\""Alexithymia\"",\""Alexithymia Fiction\"",\""Alexithymie Romans, nouvelles, etc\"",\""Amitié Romans, nouvelles, etc\"",\""Bildungsromans\"",\""Bullies\"",\""Bullies Fiction\"",\""Événements stressants de la vie Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Friendship\"",\""Friendship Fiction\"",\""Garçons adolescents Romans, nouvelles, etc\"",\""Intimidateurs Romans, nouvelles, etc\"",\""LANGUAGE ARTS \\u0026 DISCIPLINES Linguistics\"",\""Life change events\"",\""Life change events Fiction\"",\""Novels\"",\""Romans\"",\""Teenage boys\"",\""Teenage boys Fiction\"""""
A Floating City On The Water,Homa & Sekey,2005,55800968,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction 20th century Translations into English\"",\""Romans\"",\""Son, Chang-sun, 1935-\"",\""Son, Chang-sun, 1935- Translations into English\"""""
Rainy Days : Volume 109,Asia publishers,2015,910338894,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
The Muslim Butcher,MerwinAsia,2016,933590451,"""\""1950-1953\"",\""Fiction\"",\""Fictional Work\"",\""Guerre de Corée, 1950-1953 Anciens combattants Romans, nouvelles, etc\"",\""Korea (South)\"",\""Korean War, 1950-1953 Veterans Fiction\"",\""Orphans\"",\""Orphans Korea (South) Fiction\"",\""Romans\"",\""Turcs Corée du Sud Romans, nouvelles, etc\"",\""Turks\"",\""Turks Korea (South) Fiction\"",\""Veterans\"""""
Tuesday River : Volume 080,Asia publishers,2014,1001555378,"""\""2000-2099\"",\""Korean literature\"",\""Korean literature 21st century\"",\""Littérature coréenne 21e siècle\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Court Dancer,Pegasus Books,2018,1033567850,"""\""1392-1910\"",\""Corée Histoire 1392-1910 (Époque des Li) Romans, nouvelles, etc\"",\""FICTION Asian American\"",\""FICTION Historical\"",\""FICTION Literary\"",\""Fiction\"",\""Fictional Work\"",\""Historical fiction\"",\""History\"",\""Korea\"",\""Korea History Chosŏn dynasty, 1392-1910 Fiction\"",\""Man-woman relationships\"",\""Man-woman relationships Fiction\"",\""Novels\"",\""Relations entre hommes et femmes Romans, nouvelles, etc\"",\""Romans\"""""
The Girl Who Wrote Loneliness,Pegasus,2015,907103923,"""\""Adolescentes Romans, nouvelles, etc\"",\""Autobiographical fiction\"",\""Bildungsromans\"",\""Corée du Sud Conditions sociales Romans, nouvelles, etc\"",\""Families\"",\""Families Korea Fiction\"",\""Familles Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea (South)\"",\""Korea (South) Social conditions Fiction\"",\""Social conditions\"",\""Teenage girls\"",\""Teenage girls Fiction\"""""
I'll Be Right There,OTHER PRESS,2014,836261589,"""\""Andrae, A\"",\""Bildungsroman\"",\""Bildungsromance\"",\""Bildungsromans\"",\""Coming of age Fiction\"",\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Friendship Fiction\"",\""Interpersonal relations Fiction\"",\""Korea\"",\""Korea Fiction\"",\""Koreanisch\"",\""Love stories\"",\""Political fiction\"",\""Romance fiction\"",\""Students\"",\""Students Fiction\"""""
Please Look After Mom,"Vintage Books, a division of Random House, Inc.",2012,782965473,"""\""Families\"",\""Families Fiction\"",\""Familles Romans, nouvelles, etc\"",\""Family members\"",\""Fiction\"",\""Fictional Work\"",\""Korea (South) Seoul\"",\""Mères Romans, nouvelles, etc\"",\""Missing persons\"",\""Missing persons Fiction\"",\""Mothers\"",\""Mothers Fiction\"",\""Personnes disparues Romans, nouvelles, etc\"",\""Romans\"",\""Sacrifice\"",\""Sacrifice Fiction\"",\""Sacrifice Romans, nouvelles, etc\"",\""Seoul (Korea) Fiction\"""""
The Place Where The Harmonium Was,Asia publishers,2012,870803591,"""\""Cuentos coreanos Siglo XX Traducciones al inglés\"",\""Literatura coreana Siglo XX Traducciones al inglés\"",\""Sin, Kyŏng-suk\"""""
Please Look After Mom,Alfred A. Knopf,2011,648922467,"""\""2000-2099\"",\""Domestic fiction\"",\""Families\"",\""Families Fiction\"",\""Familles Romans, nouvelles, etc\"",\""Family life Korea Fiction\"",\""Fiction\"",\""Fictional Work\"",\""Guilt Fiction\"",\""Korea (South) Seoul\"",\""Korean fiction\"",\""Korean fiction 21st century\"",\""Korean fiction Translations into English\"",\""Mères Romans, nouvelles, etc\"",\""Mothers\"",\""Mothers Fiction\"",\""Mystery fiction\"",\""Roman coréen 21e siècle\"",\""Romans\"",\""Sacrifice\"",\""Sacrifice Fiction\"",\""Sacrifice Romans, nouvelles, etc\"",\""Seoul (Korea) Fiction\"""""
Please Look After Mother,Weidenfeld & Nicolson,2011,1178897423,"""\""Apoplectiques Romans, nouvelles, etc\"",\""Cerebrovascular disease Patients\"",\""Cerebrovascular disease Patients Fiction\"",\""Corée du Sud Romans, nouvelles, etc\"",\""Families\"",\""Families Fiction\"",\""Familles Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Korean fiction\"",\""Korean fiction Translations into English\"",\""Mères Romans, nouvelles, etc\"",\""Missing persons\"",\""Missing persons Fiction\"",\""Mothers\"",\""Mothers Fiction\"",\""Personnes disparues Romans, nouvelles, etc\"",\""Sacrifice\"",\""Sacrifice Fiction\"",\""Sacrifice Romans, nouvelles, etc\"",\""Translations\"""""
Our Friend's Homecoming,Asia publishers,2012,809921496,"""\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
Three Voices At Midnight,Dong-Suh Munhaksa,1988,-,-
Snail And Soldier Lee,Sung Eum Kak,1996,-,-
The Seed Must Die,Donga Publishing,1966,3681740,"""\""Christianisme Corée\"",\""Christianity\"",\""Christianity Korea\"",\""Korea\"""""
Silver Stallion,SOHO Press,1990,20296465,"""\""18.90 other Asiatic languages\"",\""1950-1953\"",\""Fiction\"",\""Guerre de Corée, 1950-1953 Romans, nouvelles, etc\"",\""Korean War, 1950-1953 Fiction\"",\""Novels (texts)\"",\""Romans\"",\""Translations (form)\"""""
White Badge,SOHO Press,1989,18806402,"""\""1961-1975\"",\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Guerre du Viêt-nam, 1961-1975 Anciens combattants Romans, nouvelles, etc\"",\""Korea\"",\""Korea Fiction\"",\""Novels\"",\""Romans\"",\""Veterans\"",\""Vietnam War, 1961-1975 Veterans Fiction\"",\""novels\"""""
Contradictions,Cornell Univ. East Asia Program,2005,61523682,"""\""18.90 other Asiatic languages\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Novels (texts)\"",\""Romans\"",\""Translations (form)\"""""
Rust,Jimoondang,2002,769233722,-
Two Bankruptcies : Volume 102,Asia publishers,2015,910341390,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"",\""한국 단편 소설韓國短篇小說\"",\""한국 문학[韓國文學"""
Three Generations,Archipelago Books,2006,56532634,"""\""18.90 other Asiatic languages\"",\""1910-1945\"",\""Corée Mœurs et coutumes 1910-1945 Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Historical fiction\"",\""Korea\"",\""Korea Social life and customs 1910-1945 Fiction\"",\""Korean fiction\"",\""Manners and customs\"",\""Novels (texts)\"",\""Romans\"",\""Translations (form)\"""""
Seaside Village : Volume 100,Asia publishers,2015,910728987,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"",\""한국 단편 소설韓國短篇小說\"""""
Chinatown,Asia publishers,2012,809927320,"""\""Fiction\"",\""Fictional Work\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
The Bird,Telegram,2007,74525580,"""\""Abandoned children\"",\""Abandoned children Korea Fiction\"",\""Enfants abandonnés Corée Romans, nouvelles, etc\"",\""Familles sans mère Corée Romans, nouvelles, etc\"",\""Family violence\"",\""Family violence Fiction\"",\""Fiction\"",\""Korea\"",\""Motherless families\"",\""Motherless families Korea Fiction\"",\""Novels\"",\""Romans\"",\""Violence familiale Romans, nouvelles, etc\"",\""novels\"""""
Chinatown,Hollym,2004,60324522,"""\""Chinatowns\"",\""Chinatowns Korea (South) Inch'ŏn Fiction\"",\""Fiction\"",\""Inch'ŏn (Korea) Fiction\"",\""Korea (South) Inch'ŏn\"",\""Quartiers chinois Corée du Sud Inchon Romans, nouvelles, etc\"""""
Chinatown,Jimoondang,2003,57406695,"""\""Fiction\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""O, Chŏng-hŭi\"",\""O, Chŏng-hŭi Translations into English\"",\""Romans\"",\""Translations\"""""
My Clint Eastwood,Asia publishers,2014,904963697,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Lecturer Kim And Professor T : Volume 092,Asia publishers,2015,1108313278,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
The Disaster Tourist,Counterpoint,2020,1178764547,"""\""Black humor\"",\""Black humor (Literature)\"",\""Climat Changements Romans, nouvelles, etc\"",\""Climatic changes\"",\""Climatic changes Fiction\"",\""Dark tourism\"",\""Dark tourism Fiction\"",\""Fiction\"",\""Humour noir\"",\""Islands\"",\""Islands Vietnam Fiction\"",\""Îles Viêt-nam Romans, nouvelles, etc\"",\""Korea (South)\"",\""Tourism\"",\""Tourism Employees\"",\""Tourism Employees Fiction\"",\""Tourism Korea (South) Fiction\"",\""Tourisme Personnel Romans, nouvelles, etc\"",\""Tourisme noir Romans, nouvelles, etc\"",\""Travel\"",\""Travel agents\"",\""Travel agents Fiction\"",\""Vietnam\"",\""Vietnam Description and travel Fiction\"",\""Viêt-nam Descriptions et voyages Romans, nouvelles, etc\"""""
Song Of Everlasting Spring : Volume 083,Asia publishers,2014,1001563472,"""\""1900-1999\"",\""Fiction\"",\""Fictional Work\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Between Heaven And Earth,Jimoondang,2002,255150898,-
Danny,Asia pubilshers,2015,930283063,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Father And Son : Volume 077,Asia publishers,2014,1001554938,"""\""1900-1999\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
With The Love For The Stars : Volume 021,Asia publishers,2013,859811397,"""\""Criticism, interpretation, etc\"",\""Fiction\"",\""Fictional Work\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Yun, Hu-myŏng, 1946- Criticism and interpretation\"",\""short stories\"""""
The Love Of Dunhuang,Cross-Cultural Communications,2005,994454484,-
The Man Who Was Left As Nine Pairs Of Shoes,Asia publishers,2012,809853083,"""\""Fiction\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
The Rainy Spell,Jimoondang,2002,255153687,"""\""Ausgabe\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Text\"",\""Translations\"""""
Poor Man's Wife,Asia publishers,2012,870801017,"""\""Cuentos coreanos Siglo XX Traducciones al inglés\"",\""Literatura coreana Siglo XX Traducciones al inglés\"",\""Ŭn, Hŭi-gyŏng, 1959-\"""""
Losing A Sister : Volume 076,Asia publishers,2014,1001554733,"""\""1900-1999\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Soil,DALKEY ARCHIVE,2013,883627972,"""\""Agriculteurs Romans, nouvelles, etc\"",\""Community activists\"",\""Community activists Fiction\"",\""Corée Conditions rurales Romans, nouvelles, etc\"",\""FICTION General\"",\""Farmers\"",\""Farmers Fiction\"",\""Fiction\"",\""Korea\"",\""Korea Rural conditions Fiction\"",\""Rural conditions\"""""
The Other Side Of Dark Remembrance,Jimoondang,2001,51885879,"""\""1950-1953\"",\""Fiction\"",\""Fictional Work\"",\""Guerre de Corée, 1950-1953 Romans, nouvelles, etc\"",\""Korean War, 1950-1953 Fiction\"",\""Novels\"",\""Romans\"""""
Kwon Sun-Chan And Nice People,Asia publishers,2015,922006733,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
"So Far, And Yet So Near : Volume 058",Asia publishers,2014,1001470025,"""\""2000-2099\"",\""Korean literature\"",\""Korean literature 21st century\"",\""Littérature coréenne 21e siècle\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
At Least We Can Apologize,DALKEY ARCHIVE,2013,881470005,"""\""Apologizing\"",\""Apologizing Fiction\"",\""Autonomy (Psychology)\"",\""Autonomy (Psychology) Fiction\"",\""Excuses (Regret) Romans, nouvelles, etc\"",\""FICTION General\"",\""Fiction\"",\""Mystique du péché Romans, nouvelles, etc\"",\""Mystique of sin\"",\""Mystique of sin Fiction\"""""
Toy City,Koryo Press,2007,76898099,"""\""Corée Conditions sociales 1945- Romans, nouvelles, etc\"",\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Fiction\"",\""Korea Social conditions 1945- Fiction\"",\""Since 1945\"",\""Social conditions\"""""
A Toy City,Jimoondang,2003,54508875,"""\""Novels\"",\""Romans\"""""
Night Train: Into Or Beyond Darkness,Minerva,2001,46848159,"""\""China\"",\""China Fiction\"",\""Fiction\"",\""Réalisation de soi Romans, nouvelles, etc\"",\""Self-realization\"",\""Self-realization Fiction\"""""
Farmers: A Novel,Homa & Sekey,2002,50916102,"""\""1894\"",\""Agriculteurs Corée Romans, nouvelles, etc\"",\""Farmers\"",\""Farmers Korea Fiction\"",\""Fiction\"",\""Korea\"",\""Romans\"",\""Tonghak Incident, 1894 Fiction\"""""
Meeting With My Brother,Columbia University Press,2017,971248025,"""\""1950-1953\"",\""Brothers\"",\""Brothers Korea (North) Fiction\"",\""Domestic fiction\"",\""Families\"",\""Families Korea (North) Fiction\"",\""Familles Corée du Nord Romans, nouvelles, etc\"",\""Fiction\"",\""Frères Corée du Nord Romans, nouvelles, etc\"",\""Guerre de Corée, 1950-1953 Romans, nouvelles, etc\"",\""Korea (North)\"",\""Korean War, 1950-1953 Fiction\"",\""Korean fiction\"",\""Novellas\"",\""Psychological fiction\"",\""War stories\"",\""novellas\"""""
Son Of Man,Dalkey Archive Press,2015,918940657,"""\""Andrae, A\"",\""Detective and mystery fiction\"",\""Fiction\"",\""Koreanisch\"",\""Meurtre Enquêtes Romans, nouvelles, etc\"",\""Murder Investigation\"",\""Murder Investigation Fiction\"",\""Mystery fiction\"",\""Seminarians\"",\""Seminarians Fiction\"",\""Spiritual life\"",\""Spiritual life Fiction\"",\""Vie spirituelle Romans, nouvelles, etc\"""""
Twofold Song,Hollym,2004,728651768,"""\""1900-1999\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Nouvelles coréennes\"",\""Short stories, Korean\"",\""Translations\"""""
An Appointment With My Brother,Jimoondang,2002,53309442,"""\""Fictional Work\"",\""Korean literature\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Littérature coréenne\"",\""Novels\"",\""Romans\"""""
Our Twisted Hero,Hyperion,2001,44493255,"""\""Allegories\"",\""Allégories\"",\""Fiction\"",\""Totalitarianism\"",\""Totalitarianism Fiction\"",\""Totalitarisme Romans, nouvelles, etc\"",\""Yi, Mun-yŏl, 1948- Translations into English\"""""
The Poet,Harvill Press,1995,33192535,"""\""1637-1864\"",\""18.90 other Asiatic languages\"",\""Bildungsromans\"",\""Biographical fiction\"",\""Corée Histoire 1637-1864 Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Historical fiction\"",\""History\"",\""Kim, Rip, 1807-1863\"",\""Kim, Rip, 1807-1863 Fiction\"",\""Korea\"",\""Korea History 1637-1864 Fiction\"",\""Korean fiction\"",\""Novels\"",\""Novels (texts)\"",\""Poets, Korean\"",\""Poets, Korean Fiction\"",\""Romans\"",\""Translations (form)\"""""
Hail To The Emperor!,Si-sa-yong-o-sa,1986,17318568,"""\""1900-1999\"",\""Dictatorships\"",\""Dictatorships Fiction\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Romans\"",\""Translations\"""""
A Stray Bullet : Volume 110,Asia publishers,2015,910729222,"""\""1900-1999\"",\""Fiction\"",\""Fictional Work\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
The Wind And Landscape Of Yenang,Bybooks,2013,-,-
Alexandria,Bybooks Publishers,2012,842175647,"""\""Autobiographical fiction\"""""
Wings : Volume 091,Asia publishers,2015,910338589,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Nouvelles coréennes\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
Susaek,Homa & Sekey,2008,174040315,-
Looking For A Horse : Volume 082,Asia publishers,2014,1001556684,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"""""
The Private Life Of Plants,Dalkey Archive Press,2015,918940656,"""\""Corée du Sud Romans, nouvelles, etc\"",\""Dysfunctional families\"",\""Dysfunctional families Fiction\"",\""Familles inadaptées Romans, nouvelles, etc\"",\""Family secrets\"",\""Family secrets Fiction\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Koreanisch\"",\""Liebesroman\"",\""Man-woman relationships\"",\""Man-woman relationships Fiction\"",\""Psychological fiction\"",\""Relations entre hommes et femmes Romans, nouvelles, etc\"",\""Romance fiction\"",\""Secrets de famille Romans, nouvelles, etc\"""""
The Reverse Side Of Life,Peter Owen,2005,61217656,"""\""Authors, Korean\"",\""Authors, Korean Fiction\"",\""Autobiografischer Roman\"",\""Englisch\"",\""Écrivains coréens Romans, nouvelles, etc\"",\""Fathers and sons\"",\""Fathers and sons Fiction\"",\""Fiction\"",\""Fictional Work\"",\""Pères et fils Romans, nouvelles, etc\"",\""Roman Koreanisch Ausgabe\"",\""Romans\"",\""Übersetzung\"",\""Yi, Sŭng-u (Schriftsteller)\"""""
Patterns,Green Integer,2014,833301278,"""\""Translations\"",\""Yi, Si-yŏng, 1949-\"",\""Yi, Si-yŏng, 1949- Translations into English\"""""
Olympic Boulevard,Seoul Selection,2016,1243158155,"""\""2000-2099\"",\""California Los Angeles\"",\""FICTION General\"",\""Fiction\"",\""Fictional Work\"",\""Immigrants\"",\""Immigrants California Los Angeles Fiction\"",\""Korean fiction\"",\""Korean fiction 21st century Translations into English\"",\""Novels\"",\""Romans\"",\""Translations\"""""
Grand Master : Volume 081,Asia publishers,2014,1001555491,"""\""1900-1999\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Everlasting Empire,EastBridge,2002,51165638,"""\""18.90 other Asiatic languages\"",\""1864-1910\"",\""Corée Histoire 1864-1910 Romans, nouvelles, etc\"",\""Fiction\"",\""History\"",\""Korea\"",\""Korea History 1864-1910 Fiction\"",\""Novels (texts)\"",\""Romans\"""""
